[
('syariah kota hancur warung bahagia f', 'negatif'),
('pesan mas teman mahasiswa', 'positif'),
('press conference edar spanduk fitnah hadap anies sandi', 'netral'),
('', 'netral'),
('heuheuheuu isi pemuda-pemudi dengar dengar ciri manusia cerdas dialog dgn', 'positif'),
('refreshing tl ah cc', 'netral'),
('terimakasih tinggal nonton nonton', 'netral'),
('laku mas lihat fotografer tidur si isengggg d', 'positif'),
('mas anies mndapat cindera mata unik karikatur sosok susun puluh koin hasil terampil karang', 'netral'),
('bebas pilih aniessandi nyinyir mulu', 'negatif'),
('aura damai tentramnya bawa rakyat bg', 'positif'),
('suka gaya bang', 'positif'),
('utun hehe', 'netral'),
('love ngantukkk sumpahhh daaa sygg', 'netral'),
('hahaha tuh', 'netral'),
('ea daaa sayaaank', 'netral'),
('cup cup cup', 'positif'),
('video korupsi gerindra turun anies-sandi', 'netral'),
('ulah ahokeerr', 'negatif'),
('dasar s kotak kotak', 'negatif'),
('good luck wagub', 'positif'),
('jam gin ngantuk ya loe sihhhh kemna gue', 'netral'),
('wow forum banget nih bang sandi request ga tolong nilai rupiah mata dunia', 'positif'),
('cup cup cup', 'netral'),
('salut gudang padat acara bang sandi sempet dateng ka', 'positif'),
('jail ni bang anis', 'positif'),
('laku mas lihat fotografer tidur si isengggg d', 'netral'),
('tau kriikkk ngarasa intipin utun sihhh', 'negatif'),
('nunggu y', 'negatif'),
('deklarasi koalisi buruh jakarta mas bang', 'netral'),
('heheh iyaaaaa', 'positif'),
('nyinyirin mas sandi sopan lho pakai sepatu acara resmi', 'positif'),
('emang kerja na ngintif', 'negatif'),
('emang kerja na ngintif', 'negatif'),
('siip bang', 'positif'),
('lucu oke oce', 'positif'),
('tau kriikkk ngarasa intipin utun sihhh', 'negatif'),
('pilih', 'netral'),
('bukti kau dusta konsep', 'negatif'),
('aza sihhh', 'negatif'),
('heheh iyaaaaa', 'positif'),
('heheh iyaaaaa', 'positif'),
('lapak seblah', 'netral'),
('jangkrikkk', 'negatif'),
('bukti kau dusta konsep', 'negatif'),
('jangkrikkkk kmna', 'negatif'),
('teman2 cek berita ttg makan', 'netral'),
('bangsa emang sapa', 'negatif'),
('dengerin buka mata pikir amp hati lihat nyata ilusi', 'positif'),
('muhammad monib gemar bohong', 'negatif'),
('ah sandi pakai topi mantan ciko jeriko film', 'positif'),
('pilih oke-oce mart nya buka ya', 'negatif'),
('jangkrikkk', 'negatif'),
('press conference edar spanduk fitnah hadap anies sandi', 'negatif'),
('urbanframing amp ronda malam solusi anies-sandi kota hijau aman', 'positif'),
('daaaa utun', 'negatif'),
('mantap utun ank baikk jngan pipis sembrangn ya bnyak jam', 'positif'),
('iya om', 'positif'),
('malam mas pidato bangsa indonesia', 'positif'),
('iyak om', 'positif'),
('mantap utun ank baikk jngan pipis sembrangn ya bnyak jamban heheh', 'netral'),
('iya utun amin', 'positif'),
('love', 'positif'),
('press conference edar spanduk fitnah hadap anies sandi', 'negatif'),
('iyak om', 'positif'),
('tujuh belas ya udh sunat blum klu blm blm akil balil kec', 'netral'),
('keren wagub nyanyi rembug rabu', 'positif'),
('subhanallah amin ya allah', 'positif'),
('sayang gue ga ngalahin', 'positif'),
('ahh jelek banget sihhh laku utun heheh', 'negatif'),
('ahh jelek banget sihhh laku utun heheh', 'negatif'),
('pindah k hati ya', 'negatif'),
('utun sok ganteng dehhh kyak si jangkrikkkk', 'negatif'),
('utun gemesin', 'positif'),
('utun malu', 'netral'),
('jangkrikkkk kangen loeeee', 'positif'),
('aqsqaqaqaq', 'netral'),
('senyum tun ngomong donk utun ngomong lucu', 'netral'),
('china kafir kecut orang islam kecut islam', 'negatif'),
('senyum tun ngomong donk utun ngomong lucu', 'netral'),
('pidato jelek perintah', 'negatif'),
('utun gemesin', 'positif'),
('hancur fitnah semangat', 'positif'),
('anis bebek kaca beda', 'negatif'),
('ass mental karbitan b', 'negatif'),
